Sample_ID,Sample_orf_control,Roslin_ID,sample.date,Blood,NBF,RNAlater,finclip,First_gill_score,Second_gill_score,mean_gill_score,Weight,Length,Family,Ct,mngill,ct_group,gill_group2,gill_group,Axis.1,Axis.2,richness,shannon,simpson,ASV_1,ASV_4,ASV_17,ASV_11,ASV_8,ASV_18,ASV_15,ASV_1_INT,ASV_4_INT,ASV_17_INT,ASV_11_INT,ASV_8_INT,ASV_18_INT,ASV_15_INT
G529,TRUE_SAMPLE,529,06-Oct-15,1,1,1,B402_00529,3,3,3,498,355,B302_2466,28.9,3,Ct<30,LIGHT-MODERATE,03-Apr,0.288229351,0.072720652,13,5.055977624,3.291937992,0.509516569,0.099596267,0.059668624,0.00545302,0.045826342,0.142905831,0.083525587,0.859924779,-0.799968905,0.923143931,-0.635007185,0.635007185,1.321182026,1.225627238
G499,TRUE_SAMPLE,499,06-Oct-15,1,1,1,B402_00499,4,4,4,403,342,B302_1566,30.09,4,30<Ct<35,MODERATE-ADVANCED,03-Apr,0.240824711,0.036055366,27,6.711211025,3.877540977,0.450640322,0.121068423,0.000585437,0.028905964,0.030296378,0.001844127,0.038419319,0.346704194,-0.635007185,-0.583848813,0.085072957,0.43850955,-0.635007185,0.43850955
G508,TRUE_SAMPLE,508,06-Oct-15,1,1,1,B402_00508,3,3,3,454,363,J258_2188,29.63,3,Ct<30,LIGHT-MODERATE,03-Apr,-0.143199177,-0.223616862,15,3.206657489,2.224618053,0.272604668,0.611058989,0.004397795,0.001641844,0.027735429,0.019936672,0,-0.127802736,1.140117653,-0.257736636,-0.859924779,0.301921554,0.127802736,-1.430608769
G518,TRUE_SAMPLE,518,06-Oct-15,1,1,1,B402_00518,2.5,2.5,2.5,317,317,B302_0717,41.51,2.5,Ct>35,LIGHT-MODERATE,02-Mar,-0.240387295,0.538859545,8,3.051659542,2.437311456,0.009699977,0.006316264,0,0,0,0.000902323,0,-1.560490269,-1.952764915,-1.321182026,-1.430608769,-1.225627238,-0.742759799,-1.430608769
G543,TRUE_SAMPLE,543,06-Oct-15,1,1,1,B402_00543,4,4,4,497,366,B302_3618,36.28,4,Ct>35,MODERATE-ADVANCED,03-Apr,-0.166290234,0.085971993,8,6.160131213,5.39589257,0.187569256,0.290218596,0.00956986,0,0,0,0,-0.346704194,0.214049476,-0.127802736,-1.430608769,-1.225627238,-1.321182026,-1.430608769
G528,TRUE_SAMPLE,528,06-Oct-15,1,1,1,B402_00528,4,4,4,503,366,B302_0903,31.47,4,30<Ct<35,MODERATE-ADVANCED,03-Apr,0.172991097,-0.097001861,12,3.403516988,2.427153952,0.56456914,0.300818405,0,0,0,0,0.004821191,1.225627238,0.257736636,-1.321182026,-1.430608769,-1.225627238,-1.321182026,-0.68788465
G470,TRUE_SAMPLE,470,06-Oct-15,1,1,1,B402_00470,2.5,2.5,2.5,459,344,B302_2590,29.63,2.5,Ct<30,LIGHT-MODERATE,02-Mar,-0.403493816,-0.193909988,21,2.696167067,1.571033413,0.027354712,0.794523955,0.00927981,0.026767947,0.046520231,0.003086892,0.029657125,-1.225627238,1.723789988,-0.170767252,-0.042498014,0.68788465,-0.392193489,0.127802736
G567,TRUE_SAMPLE,567,06-Oct-15,1,1,1,B402_00567,4,4.5,4.25,335,318,B302_2880,28.69,4.25,Ct<30,MODERATE-ADVANCED,04-May,0.07896244,-0.169118334,13,3.788579822,2.772419365,0.45282034,0.389021721,0.015642364,0.036150867,0.006970871,0.014362687,0.022815289,0.392193489,0.635007185,0.085072957,0.392193489,-0.43850955,0,-0.085072957
G457,TRUE_SAMPLE,457,06-Oct-15,1,1,1,B402_00457,4,4,4,579,384,B302_0607,41.88,4,Ct>35,MODERATE-ADVANCED,03-Apr,-0.067371029,-0.173385852,21,6.206660826,3.959777039,0.26084631,0.412870394,0.000397329,0.030945795,0.070052111,0.0026132,0.046563871,-0.170767252,0.68788465,-0.742759799,0.257736636,1.062220505,-0.485786363,0.635007185
G474,TRUE_SAMPLE,474,06-Oct-15,1,1,1,B402_00474,4,4,4,437,352,J258_1135,31.43,4,30<Ct<35,MODERATE-ADVANCED,03-Apr,0.28783015,0.003058289,20,5.872260388,3.270222578,0.522614557,0.136345398,0.032493379,0.001789584,0.038688709,0,0.025423321,0.923143931,-0.583848813,0.485786363,-0.799968905,0.583848813,-1.321182026,0
G527,TRUE_SAMPLE,527,06-Oct-15,1,1,1,B402_00527,4,4,4,353,321,B302_0717,33.82,4,30<Ct<35,MODERATE-ADVANCED,03-Apr,0.144351231,0.025716478,7,3.404425056,2.666639905,0.53492237,0.271009567,0,0,0,0,0,0.990286919,0.085072957,-1.321182026,-1.430608769,-1.225627238,-1.321182026,-1.430608769
G497,TRUE_SAMPLE,497,06-Oct-15,1,1,1,B402_00497,4,4,4,494,355,B302_2390,36.87,4,Ct>35,MODERATE-ADVANCED,03-Apr,-0.045133183,0.052723474,42,12.4301678,8.217620659,0.154723891,0.220342318,0.064059686,0.023320571,0.071959321,0.158507241,0.102891993,-0.583848813,-0.214049476,0.990286919,-0.170767252,1.140117653,1.560490269,1.430608769
G519,TRUE_SAMPLE,519,06-Oct-15,1,1,1,B402_00519,4,4,4,298,325,B302_2765,32.49,4,30<Ct<35,MODERATE-ADVANCED,03-Apr,-0.241320066,-0.229957402,20,3.116669424,2.046368062,0.161788407,0.67504549,0.028918638,0.017234208,0.02568235,0.001494671,0.070119574,-0.43850955,1.321182026,0.346704194,-0.301921554,0.214049476,-0.68788465,1.140117653
G491,TRUE_SAMPLE,491,06-Oct-15,1,1,1,B402_00491,4,4,4,329,324,B302_3618,30.59,4,30<Ct<35,MODERATE-ADVANCED,03-Apr,0.065696683,-0.146513331,45,5.14728954,3.360029917,0.402123584,0.357880652,0.017029101,0.058210837,0.020956672,0.027281216,0.027396733,0.214049476,0.485786363,0.127802736,0.859924779,0.042498014,0.301921554,0.042498014
G556,TRUE_SAMPLE,556,06-Oct-15,0,1,1,B402_00556,4,4,4,496,367,B302_1582,34.8,4,30<Ct<35,MODERATE-ADVANCED,03-Apr,-0.027385598,-0.0732038,17,7.007177256,4.905656052,0.250065335,0.325810152,0.054808642,0.036834311,0,0.04640223,0.162756258,-0.214049476,0.346704194,0.799968905,0.534175181,-1.225627238,0.583848813,1.723789988
